Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
City Management and Ethics,1386621828,1442356261,"Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs In November 4, 2014 Election",964,128,"['voluntary', 'expenditure', 'ceiling', 'campaign', 'finance', 'ethics', 'vec', 'november 4', '2014', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-Of-Voluntary-Expenditure-C/4qsp-ix5t,1458063750,1602,1357
City Management and Ethics,1412956763,1499281973,Campaign Finance - Ballot Measure Committee Name Mapping - November 4 2014 Election,697,126,"['campaign ballot measure committee', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Ballot-Measure-Committee-Name-Map/dt7v-mz6s,1499281822,1297,1293
City Management and Ethics,1438966995,1499282955,"Campaign Finance - Committee Name to Measure or Candidate Mapping for November 3, 2015 Election",656,124,"['campaign finance dashboard 2015', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Committee-Name-to-Measure-or-Cand/9gi7-6xfc,1499282808,996,802
City Management and Ethics,1364920583,1433435015,Public Financing Report - Total Candidate Spending in 2012,812,124,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Public-Financing-Report-Total-Candidate-Spending-i/h2wp-niyk,1458063732,1853,1853
City Management and Ethics,1370279830,1442353973,"Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 5, 2013 Election",1101,111,"['voluntary', 'expenditure', 'ceiling', 'campaign', 'finance', 'ethics', 'vec', 'november 5', '2013', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-of-Voluntary-Expenditure-C/kahd-w39p,1458063767,1791,1791
City Management and Ethics,1435084828,1514925218,"Campaign Finance - Public Funds Disbursed - November 3, 2015 Election",856,110,"['campaign finance dashboard 2015', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Public-Funds-Disbursed-November-3/pnpu-7zb5,1514925091,1041,790
City Management and Ethics,1456176843,1497385334,"Campaign Finance - Public Funds Disbursed - November 8, 2016 Election",467,108,"['campaign finance dashboard 2016', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Public-Funds-Disbursed-November-8/nmzh-y378,1497385222,797,418
City Management and Ethics,1471553438,1502136697,"Campaign Finance - Summary Of Third Party Disclosure Forms Regarding San Francisco Candidates - November 8, 2016",291,105,"['campaign finance dashboards 2016', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-Of-Third-Party-Disclosure/7i7v-m2wn,1497384645,619,265
Housing and Buildings,1493145124,1524940332,Building Permits Contacts,155,104,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Building-Permits-Contacts/3pee-9qhc,1524939250,369,1
City Management and Ethics,1463594740,1524906683,Form 700 Comments,1393,102,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Comments/e9vv-n9ta,1518571456,711,1
City Management and Ethics,1457043015,1497384080,"Campaign Finance - Individual Expenditure Ceilings IECs - November 8, 2016 Election",434,96,"['campaign finance dashboard 2016', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Individual-Expenditure-Ceilings-I/c27p-2c4v,1497384015,787,531
City Infrastructure,1487372135,1517520160,SF311 Prior Case Data Structure,113,92,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/SF311-Prior-Case-Data-Structure/bk8g-9b93,1517519794,436,374
City Infrastructure,1318104077,1524937372,311 Cases,15644,53310,"['311', 'case', 'cases', 'customer service', 'calls', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,1519689075,2395,1
City Infrastructure,1516226306,1521238858,Existing Commercial Wireless Telecommunication Services Facilities in San Francisco,16,91,"['cellphone', 'mast', 'antenna', 'phone', 'tower', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Existing-Commercial-Wireless-Telecommunication-Ser/aa26-h926,1521238558,102,102
Housing and Buildings,1521157200,1522124125,SF Municipal Green Building Inventory,29,83,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Municipal-Green-Building-Inventory/yuvm-3ujh,1522123806,45,34
Housing and Buildings,1452811514,1517420435,Mayor’s Office of Housing and Community Development Single Family Remediation and Rehabilitation Loans,767,83,"['rehab', 'mohcd', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/udmf-verx,1517475605,836,88
Housing and Buildings,1452821687,1517420421,Mayor’s Office of Housing and Community Development Lead Mediation Grant Program,647,76,"['mohcd', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/f5ak-rkkp,1517480753,836,88
City Management and Ethics,1500421995,1501087177,Retiree Pensions Annual Benefit Received,168,74,"['benefits', 'retirement', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Retiree-Pensions-Annual-Benefit-Received/84zg-myyk,1501086959,285,277
City Management and Ethics,1514503889,1523305863,SFEC Form 3600 - Board And Commission Member Behested Payment Filings,21,73,"['behested', 'payment', 'board', 'commission', 'member', 'ethics', 'conflict of interest', 'contribution', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/SFEC-Form-3600-Board-And-Commission-Member-Beheste/59sr-386y,1523303778,122,25
City Management and Ethics,1514499030,1523305893,SFEC Form 3600 - Board and Commission Member Behested Payment Payors,21,53,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/SFEC-Form-3600-Board-and-Commission-Member-Beheste/ibrg-quig,1523303702,122,25
City Management and Ethics,1510248773,1524003086,Gifts of Travel - Accompanying Persons,65,72,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Gifts-of-Travel-Accompanying-Persons/gqui-q3n5,1521845123,171,12
Geographic Locations and Boundaries,1516209403,1524683851,Departmental Review of FSR Datasets - Status,297,64,"['fsr', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Departmental-Review-of-FSR-Datasets-Status/bztm-6q4a,1524683138,102,4
Transportation,1449003433,1514924346,2014 SFO Customer Survey,281,64,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2014-SFO-Customer-Survey/xr4w-bx78,1515205077,880,880
City Management and Ethics,1457042380,1497313597,"Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs in November 8, 2016 Election",588,61,"['campaign finance', 'election', 'vec', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-Of-Voluntary-Expenditure-C/4va5-ssaq,1497313555,787,787
Housing and Buildings,1493146573,1524937484,Plumbing Permits Contacts,125,60,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Plumbing-Permits-Contacts/k6kv-9kix,1524936604,369,1
City Infrastructure,1482269567,1524913843,Open Data Portal Dataset Attachments,62,51,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Open-Data-Portal-Dataset-Attachments/a2hm-yzs6,1521962442,495,1
Transportation,1449873193,1514924404,2015 SFO Customer Survey,280,47,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2015-SFO-Customer-Survey/6h3c-wyfe,1515205138,870,870
City Management and Ethics,1495755589,1524903778,Campaign Finance - Status Of Voluntary Expenditure Ceiling VECs,837,45,"['voluntary expenditure ceiling', 'campaign finance', 'ethics', 'vec', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-Of-Voluntary-Expenditure-C/ct8k-kggq,1500333282,339,1
City Infrastructure,1516227061,1521238903,Proposed Commercial Wireless Telecommunication Services Facilities in San Francisco,14,43,"['cellphone', 'phone', 'mast', 'antenna', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Proposed-Commercial-Wireless-Telecommunication-Ser/8zki-wqj3,1521238574,102,102
Transportation,1449004239,1514924385,2010 SFO Customer Survey,231,40,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2010-SFO-Customer-Survey/3g5j-aamw,1515204791,880,880
Housing and Buildings,1493148707,1524940003,Electrical Permits Contacts,146,37,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Electrical-Permits-Contacts/fdm7-jqqf,1524938438,369,1
City Infrastructure,1519860632,1524608369,City Sub-Facilities,10,24,"['facilities', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/City-Sub-Facilities/qvpz-vw28,1524775976,60,5
